Month,Year,EnergyProd
January,2015,724
January,2018,720
January,2019,569
January,2020,604
February,2015,755
February,2018,661
February,2019,773
February,2020,854
March,2015,1361
March,2016,1491
March,2017,1646
March,2018,1406
March,2019,1501
March,2020,1187
April,2015,1848
April,2016,1879
April,2017,1679
April,2018,1265
April,2019,1543
April,2020,1664
May,2014,1119
May,2015,2213
May,2016,1586
May,2017,1718
May,2018,1301
May,2019,1915
May,2020,1634
June,2014,2160
June,2015,1891
June,2016,1486
June,2017,2071
June,2018,1262
June,2019,1892
June,2020,1856
July,2014,2096
July,2015,1917
July,2017,1941
July,2018,1848
July,2019,1977
July,2020,1943
August,2014,1727
August,2015,1906
August,2017,1779
August,2018,1791
August,2019,1797
August,2020,1513
September,2014,1446
September,2017,1474
September,2018,1000
September,2019,1434
September,2020,1281
October,2014,1141
October,2017,1153
October,2018,1042
October,2019,1001
October,2020,1016
November,2014,838
November,2017,685
November,2018,634
November,2019,726
November,2020,688
December,2014,562
December,2017,545
December,2018,422
December,2019,552
December,2020,576
