Year,Month,AverageTemperature
2017,January,42.17
2017,February,50.3
2017,March,48.05
2017,April,63.9
2017,May,65.15
2017,June,74.72
2017,July,79.51
2017,August,74.9
2017,September,69.18
2017,October,62.44
2017,November,47.83
2017,December,38.98
2018,January,36.79
2018,February,46.01
2018,March,43.13
2018,April,54.72
2018,May,72.18
2018,June,74.47
2018,July,77.14
2018,August,76.85
2018,September,72.4
2018,October,61.04
2018,November,45.54
2018,December,41.24
2019,January,37.24
2019,February,43.29
2019,March,46.81
2019,April,61.19
2019,May,70.96
2019,June,74.34
2019,July,79.6
2019,August,76.14
2019,September,73.97
2019,October,61.77
2019,November,45.72
2019,December,43.07
2020,January,42.8
2020,February,44.85
2020,March,53.88
2020,April,56.14
2020,May,63.36
2020,June,75.05
2020,July,80.91
2020,August,75.85
2020,September,67.42
2020,October,60.06
2020,November,54.01
2020,December,41.36
2014,June,22.76
2014,July,23.42
2014,August,21.98
2014,September,20.09
2014,October,14.72
2014,November,6.66
2014,December,5.12
2015,January,1.22
2015,February,-1.45
2015,March,7.43
2015,April,13.71
2015,May,20.03
2015,June,23.26
2015,July,24.17
2015,August,23.51
2015,September,20.91
2015,October,13.61
2015,November,11.35
2015,December,10.15
2016,January,1.44
2016,February,4
2016,March,12.19
2016,April,14.08
2016,May,17.23
2016,June,23.37
2016,July,26.26
2016,August,25.72
2016,September,23.2
2016,October,16.5
2016,November,10.47
2016,December,4.84
